Vendor,"GRAPHTEC Corporation"
Model,"GL840"
Version,"Ver1.44  "
MaxChannel,30
GSStartCH,20
WLStartCH,30
MaxLogicChannel,8
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1min
Total data points,5509      
Trigger,0         
Start time,2020-11-12,18:00:10
End time,2020-11-16,13:49:13
Trigger time,2020-11-12,18:00:16
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1,"M1-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,5,6,0
CH2,"M1-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],0,13,23,0
CH3,"M2-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],9,22,8,0
CH4,"M2-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],21,0,21,0
CH5,"C-TEMP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,16,2,0
CH6,"C-RH","WV",DC,5V,,Off,+5.000,+0.000,[V],5,23,30,0
CH7,"M2-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],30,23,1,0
CH8,"M1-SP","WV",DC,5V,,Off,+5.000,+0.000,[V],28,0,17,0
CH9,"M1-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],17,11,7,0
CH10,"M1-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],19,27,0,0
CH11,"M2-Tp FS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],28,5,6,0
CH12,"M2-Tp BS","WV",TEMP,TC_T,2000degC,Off,+2000.0,-200.0,[degC],0,13,23,0
GS1," GS1","TH",TEMP,,,Off,+100.00,-10.00,[degC],28,5,6,0
GS2," GS2","TH",RH,100%,,Off,+100.00,+0.00,[%],0,13,23,0
GS3," GS3","TH",DEW,,,Off,+100.00,-10.00,[degC],9,22,8,0
GS4," GS4","TH",ATEMP,,,Off,+100,+0,[degCh],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,GS1,GS2,GS3,GS4,Alarm1-10,Alarm11-20,AlarmGS,AlarmOut
NO.,Time,ms,"V","V","V","V","V","V","V","V","degC","degC","degC","degC","degC","%","degC","degCh","A1234567890","A1234567890","A1234567890","AO1234"
         1,2020/11/12 18:00:16,  0,+ 3.082,+ 2.370,+ 3.085,+ 2.480,+ 3.033,+ 2.776,+ 2.425,+ 2.370,+  11.1,+  13.0,+  10.8,+  13.0,+ 17.87,+ 49.40,+  7.16,+     0 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         2,2020/11/12 18:01:16,  0,+ 3.085,+ 2.373,+ 3.088,+ 2.483,+ 3.032,+ 2.773,+ 2.425,+ 2.368,+  11.1,+  13.0,+  10.7,+  12.9,+ 17.84,+ 49.90,+  7.21,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         3,2020/11/12 18:02:16,  0,+ 3.087,+ 2.376,+ 3.090,+ 2.485,+ 3.036,+ 2.776,+ 2.425,+ 2.369,+  11.1,+  12.9,+  10.7,+  12.9,+ 17.83,+ 49.90,+  7.21,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         4,2020/11/12 18:03:16,  0,+ 3.090,+ 2.379,+ 3.092,+ 2.488,+ 3.041,+ 2.786,+ 2.426,+ 2.369,+  11.1,+  12.9,+  10.7,+  12.9,+ 17.82,+ 49.90,+  7.21,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         5,2020/11/12 18:04:16,  0,+ 3.092,+ 2.381,+ 3.094,+ 2.489,+ 3.042,+ 2.797,+ 2.425,+ 2.368,+  11.0,+  12.8,+  10.7,+  12.8,+ 17.77,+ 49.90,+  7.21,+     1 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         6,2020/11/12 18:05:16,  0,+ 3.094,+ 2.384,+ 3.096,+ 2.491,+ 3.044,+ 2.806,+ 2.424,+ 2.367,+  11.0,+  12.7,+  10.7,+  12.7,+ 17.74,+ 50.00,+  7.15,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         7,2020/11/12 18:06:16,  0,+ 3.096,+ 2.385,+ 3.098,+ 2.493,+ 3.045,+ 2.804,+ 2.422,+ 2.366,+  10.9,+  12.7,+  10.6,+  12.7,+ 17.71,+ 50.00,+  7.15,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         8,2020/11/12 18:07:16,  0,+ 3.098,+ 2.388,+ 3.099,+ 2.495,+ 3.047,+ 2.805,+ 2.422,+ 2.364,+  10.9,+  12.6,+  10.6,+  12.7,+ 17.69,+ 50.00,+  7.15,+     2 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
         9,2020/11/12 18:08:16,  0,+ 3.100,+ 2.391,+ 3.101,+ 2.497,+ 3.048,+ 2.806,+ 2.421,+ 2.363,+  10.9,+  12.6,+  10.6,+  12.6,+ 17.67,+ 50.00,+  7.15,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        10,2020/11/12 18:09:16,  0,+ 3.101,+ 2.393,+ 3.102,+ 2.498,+ 3.048,+ 2.802,+ 2.422,+ 2.363,+  10.9,+  12.6,+  10.5,+  12.6,+ 17.64,+ 50.00,+  7.06,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        11,2020/11/12 18:10:16,  0,+ 3.103,+ 2.395,+ 3.103,+ 2.500,+ 3.049,+ 2.775,+ 2.422,+ 2.362,+  10.8,+  12.5,+  10.5,+  12.6,+ 17.61,+ 50.00,+  7.06,+     3 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        12,2020/11/12 18:11:16,  0,+ 3.104,+ 2.397,+ 3.105,+ 2.503,+ 3.049,+ 2.764,+ 2.422,+ 2.364,+  10.8,+  12.5,+  10.6,+  12.6,+ 17.59,+ 50.00,+  7.06,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        13,2020/11/12 18:12:16,  0,+ 3.106,+ 2.400,+ 3.106,+ 2.505,+ 3.050,+ 2.763,+ 2.423,+ 2.365,+  10.8,+  12.5,+  10.6,+  12.5,+ 17.57,+ 50.00,+  7.06,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        14,2020/11/12 18:13:16,  0,+ 3.107,+ 2.401,+ 3.106,+ 2.507,+ 3.051,+ 2.763,+ 2.424,+ 2.364,+  10.9,+  12.5,+  10.5,+  12.5,+ 17.55,+ 50.00,+  7.06,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        15,2020/11/12 18:14:16,  0,+ 3.108,+ 2.402,+ 3.107,+ 2.508,+ 3.052,+ 2.760,+ 2.423,+ 2.366,+  10.9,+  12.4,+  10.5,+  12.5,+ 17.52,+ 50.00,+  6.97,+     4 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        16,2020/11/12 18:15:16,  0,+ 3.108,+ 2.404,+ 3.108,+ 2.511,+ 3.052,+ 2.759,+ 2.424,+ 2.366,+  10.9,+  12.4,+  10.6,+  12.5,+ 17.50,+ 50.00,+  6.97,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        17,2020/11/12 18:16:16,  0,+ 3.109,+ 2.406,+ 3.108,+ 2.512,+ 3.053,+ 2.770,+ 2.421,+ 2.364,+  10.8,+  12.3,+  10.5,+  12.4,+ 17.47,+ 50.00,+  6.97,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        18,2020/11/12 18:17:16,  0,+ 3.110,+ 2.407,+ 3.109,+ 2.515,+ 3.054,+ 2.765,+ 2.421,+ 2.363,+  10.7,+  12.3,+  10.5,+  12.4,+ 17.45,+ 50.00,+  6.97,+     5 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        19,2020/11/12 18:18:16,  0,+ 3.111,+ 2.408,+ 3.110,+ 2.517,+ 3.055,+ 2.769,+ 2.420,+ 2.361,+  10.7,+  12.2,+  10.5,+  12.4,+ 17.43,+ 50.00,+  6.88,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        20,2020/11/12 18:19:16,  0,+ 3.112,+ 2.410,+ 3.111,+ 2.518,+ 3.055,+ 2.769,+ 2.420,+ 2.359,+  10.7,+  12.2,+  10.4,+  12.3,+ 17.41,+ 50.00,+  6.88,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        21,2020/11/12 18:20:16,  0,+ 3.113,+ 2.412,+ 3.112,+ 2.521,+ 3.054,+ 2.766,+ 2.419,+ 2.357,+  10.6,+  12.2,+  10.3,+  12.3,+ 17.39,+ 50.00,+  6.88,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        22,2020/11/12 18:21:16,  0,+ 3.115,+ 2.413,+ 3.113,+ 2.522,+ 3.054,+ 2.764,+ 2.418,+ 2.355,+  10.6,+  12.2,+  10.3,+  12.3,+ 17.37,+ 50.00,+  6.88,+     6 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        23,2020/11/12 18:22:16,  0,+ 3.116,+ 2.414,+ 3.114,+ 2.524,+ 3.054,+ 2.764,+ 2.417,+ 2.352,+  10.5,+  12.1,+  10.3,+  12.3,+ 17.35,+ 50.00,+  6.88,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        24,2020/11/12 18:23:16,  0,+ 3.117,+ 2.415,+ 3.115,+ 2.526,+ 3.054,+ 2.764,+ 2.415,+ 2.349,+  10.5,+  12.1,+  10.2,+  12.2,+ 17.33,+ 50.10,+  6.81,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        25,2020/11/12 18:24:16,  0,+ 3.119,+ 2.416,+ 3.117,+ 2.528,+ 3.055,+ 2.763,+ 2.414,+ 2.346,+  10.4,+  12.1,+  10.2,+  12.2,+ 17.32,+ 50.10,+  6.81,+     7 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        26,2020/11/12 18:25:16,  0,+ 3.121,+ 2.419,+ 3.118,+ 2.529,+ 3.055,+ 2.763,+ 2.412,+ 2.343,+  10.3,+  12.0,+  10.1,+  12.1,+ 17.31,+ 50.10,+  6.81,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        27,2020/11/12 18:26:16,  0,+ 3.122,+ 2.420,+ 3.120,+ 2.532,+ 3.054,+ 2.758,+ 2.412,+ 2.339,+  10.3,+  12.0,+  10.1,+  12.1,+ 17.30,+ 50.10,+  6.81,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        28,2020/11/12 18:27:16,  0,+ 3.124,+ 2.422,+ 3.121,+ 2.532,+ 3.054,+ 2.753,+ 2.411,+ 2.338,+  10.3,+  12.0,+  10.0,+  12.0,+ 17.29,+ 50.10,+  6.81,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        29,2020/11/12 18:28:16,  0,+ 3.126,+ 2.424,+ 3.123,+ 2.535,+ 3.055,+ 2.756,+ 2.410,+ 2.336,+  10.2,+  11.9,+  10.0,+  12.0,+ 17.28,+ 50.10,+  6.81,+     8 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        30,2020/11/12 18:29:16,  0,+ 3.128,+ 2.426,+ 3.124,+ 2.536,+ 3.057,+ 2.758,+ 2.409,+ 2.334,+  10.1,+  11.9,+   9.9,+  12.0,+ 17.27,+ 50.10,+  6.81,+     9 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
        31,2020/11/12 18:30:16,  0,+ 3.130,+ 2.429,+ 3.126,+ 2.538,+ 3.058,+ 2.765,+ 2.408,+ 2.332,+  10.1,+  11.8,+   9.9,+  11.9,+ 17.26,+ 50.10,+  6.81,+     9 ,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLL
